temperature,humidity,solar_intensity,fan_speed,heater_status,batch_weight,initial_moisture,elapsed_time,temperature_change,humidity_change,remaining_time,drying_stage
48.6,68.2,108.0,83,1,1.7,32.567590137552806,15,3.79,-1.51,338,ACTIVE_DRYING
47.2,66.7,130.0,86,0,1.7,32.567590137552806,20,-1.67,-1.24,333,ACTIVE_DRYING
51.2,65.7,188.0,86,1,1.7,32.567590137552806,25,3.73,-1.5,328,ACTIVE_DRYING
49.4,64.4,233.0,87,0,1.7,32.567590137552806,30,-1.21,-1.4,323,ACTIVE_DRYING
48.6,62.9,251.0,70,0,1.7,32.567590137552806,35,-0.59,-2.43,318,ACTIVE_DRYING
48.6,61.5,287.0,71,0,1.7,32.567590137552806,40,-0.09,-1.88,313,ACTIVE_DRYING
47.5,58.7,318.0,72,0,1.7,32.567590137552806,45,-0.79,-2.31,308,ACTIVE_DRYING
47.6,57.7,359.0,68,0,1.7,32.567590137552806,50,0.26,-1.17,303,ACTIVE_DRYING
47.3,56.2,329.0,71,0,1.7,32.567590137552806,55,-0.57,-1.82,298,ACTIVE_DRYING
47.5,54.6,394.0,70,0,1.7,32.567590137552806,60,0.07,-1.01,293,ACTIVE_DRYING
47.2,52.9,453.0,70,0,1.7,32.567590137552806,65,0.13,-1.11,288,ACTIVE_DRYING
48.2,52.7,468.0,72,0,1.7,32.567590137552806,70,0.86,0.28,283,ACTIVE_DRYING
48.2,51.8,475.0,70,0,1.7,32.567590137552806,75,0.11,-0.86,278,ACTIVE_DRYING
48.6,49.5,474.0,69,0,1.7,32.567590137552806,80,0.51,-1.73,273,ACTIVE_DRYING
49.2,49.3,475.0,70,0,1.7,32.567590137552806,85,0.25,-0.84,268,ACTIVE_DRYING
49.0,48.5,522.0,71,0,1.7,32.567590137552806,90,-0.1,-1.17,263,ACTIVE_DRYING
49.7,47.2,620.0,71,0,1.7,32.567590137552806,95,0.78,-1.4,258,ACTIVE_DRYING
50.5,46.2,596.0,70,0,1.7,32.567590137552806,100,0.52,-2.03,253,ACTIVE_DRYING
51.8,44.8,684.0,72,0,1.7,32.567590137552806,105,0.86,-2.02,248,ACTIVE_DRYING
52.2,43.2,601.0,54,0,1.7,32.567590137552806,110,0.52,-1.32,243,ACTIVE_DRYING
53.7,42.2,627.0,54,0,1.7,32.567590137552806,115,0.94,-1.23,238,ACTIVE_DRYING
54.6,42.0,655.0,53,0,1.7,32.567590137552806,120,0.86,-0.92,233,ACTIVE_DRYING
55.3,39.9,632.0,53,0,1.7,32.567590137552806,125,0.57,-2.15,228,ACTIVE_DRYING
56.9,39.0,749.0,54,0,1.7,32.567590137552806,130,1.75,-1.09,223,ACTIVE_DRYING
58.4,39.1,695.0,56,0,1.7,32.567590137552806,135,1.23,-0.22,218,ACTIVE_DRYING
58.0,37.2,738.0,53,0,1.7,32.567590137552806,140,-0.66,-1.38,213,ACTIVE_DRYING
58.5,36.0,679.0,55,0,1.7,32.567590137552806,145,0.01,-0.98,208,ACTIVE_DRYING
58.5,35.1,707.0,56,0,1.7,32.567590137552806,150,-0.62,-1.25,203,NEAR_COMPLETE
58.0,33.6,735.0,56,0,1.7,32.567590137552806,155,-0.58,-1.43,198,NEAR_COMPLETE
57.6,31.9,729.0,55,0,1.7,32.567590137552806,160,0.01,-1.66,193,NEAR_COMPLETE
58.1,30.9,726.0,53,0,1.7,32.567590137552806,165,0.37,-1.09,188,NEAR_COMPLETE
58.1,30.0,694.0,55,0,1.7,32.567590137552806,170,-0.16,0.52,183,NEAR_COMPLETE
58.1,29.9,746.0,57,0,1.7,32.567590137552806,175,-0.34,0.24,178,NEAR_COMPLETE
58.3,29.3,750.0,55,0,1.7,32.567590137552806,180,-0.01,-1.08,173,NEAR_COMPLETE
57.8,27.6,695.0,53,0,1.7,32.567590137552806,185,-0.4,-1.45,168,COMPLETE
58.0,27.6,745.0,56,0,1.7,32.567590137552806,190,0.13,-0.08,163,COMPLETE
58.2,25.7,751.0,56,0,1.7,32.567590137552806,195,0.08,-1.28,158,COMPLETE
58.2,24.5,714.0,55,0,1.7,32.567590137552806,200,-0.09,-0.26,153,COMPLETE
57.6,25.1,742.0,57,0,1.7,32.567590137552806,205,-0.29,0.66,148,COMPLETE
58.4,24.4,734.0,53,0,1.7,32.567590137552806,210,0.54,-0.24,143,COMPLETE
57.5,23.8,752.0,56,0,1.7,32.567590137552806,215,-0.51,-0.22,138,COMPLETE
57.4,23.1,729.0,54,0,1.7,32.567590137552806,220,0.73,-0.67,133,COMPLETE
57.8,22.3,652.0,53,0,1.7,32.567590137552806,225,0.47,-1.23,128,COMPLETE
58.1,20.1,621.0,54,0,1.7,32.567590137552806,230,0.59,-1.51,123,COMPLETE
57.4,19.6,695.0,54,0,1.7,32.567590137552806,235,-0.51,-0.13,118,COMPLETE
58.0,21.2,657.0,56,0,1.7,32.567590137552806,240,1.05,0.05,113,COMPLETE
58.3,19.5,564.0,56,0,1.7,32.567590137552806,245,-0.18,-1.67,108,COMPLETE
57.9,17.9,622.0,54,0,1.7,32.567590137552806,250,-0.29,-0.7,103,COMPLETE
57.7,19.2,592.0,54,0,1.7,32.567590137552806,255,-0.06,0.17,98,COMPLETE
57.5,19.2,553.0,53,0,1.7,32.567590137552806,260,0.24,-0.82,93,COMPLETE
58.2,17.4,525.0,53,0,1.7,32.567590137552806,265,0.34,-1.33,88,COMPLETE
58.4,17.6,551.0,55,0,1.7,32.567590137552806,270,0.06,1.09,83,COMPLETE
57.1,17.8,458.0,57,0,1.7,32.567590137552806,275,-0.54,0.32,78,COMPLETE
58.6,18.0,473.0,55,0,1.7,32.567590137552806,280,1.36,0.2,73,COMPLETE
57.8,17.9,387.0,54,0,1.7,32.567590137552806,285,-0.54,0.27,68,COMPLETE
57.8,18.2,388.0,54,0,1.7,32.567590137552806,290,0.41,-0.07,63,COMPLETE
57.7,18.0,336.0,54,0,1.7,32.567590137552806,295,-0.16,0.05,58,COMPLETE
57.9,17.4,367.0,56,0,1.7,32.567590137552806,300,0.12,-0.25,53,COMPLETE
57.0,17.7,319.0,54,0,1.7,32.567590137552806,305,-0.41,0.47,48,COMPLETE
56.3,17.9,262.0,53,0,1.7,32.567590137552806,310,-0.51,0.35,43,COMPLETE
56.3,18.9,314.0,57,0,1.7,32.567590137552806,315,0.3,0.07,38,COMPLETE
56.0,18.1,211.0,56,0,1.7,32.567590137552806,320,-0.85,-1.14,33,COMPLETE
55.1,17.8,163.0,53,0,1.7,32.567590137552806,325,-1.5,-0.2,28,COMPLETE
53.5,18.1,196.0,55,0,1.7,32.567590137552806,330,-1.27,0.46,23,COMPLETE
52.7,18.6,137.0,55,0,1.7,32.567590137552806,335,-0.96,0.08,18,COMPLETE
51.2,17.5,115.0,57,0,1.7,32.567590137552806,340,-0.81,-0.27,13,COMPLETE
50.0,18.4,49.0,53,0,1.7,32.567590137552806,345,-1.13,0.36,8,COMPLETE
48.9,18.1,28.0,57,0,1.7,32.567590137552806,350,-0.97,-0.61,3,COMPLETE
34.1,72.5,0.0,40,1,2.1,34.62460860864802,0,0.1,0.57,258,INITIAL
39.4,71.7,36.0,49,1,2.1,34.62460860864802,5,4.79,-0.88,253,INITIAL
43.6,70.5,71.0,59,1,2.1,34.62460860864802,10,4.33,-1.09,248,ACTIVE_DRYING
47.9,68.4,115.0,83,1,2.1,34.62460860864802,15,3.72,-1.6,243,ACTIVE_DRYING
50.6,67.8,166.0,85,1,2.1,34.62460860864802,20,3.02,-1.26,238,ACTIVE_DRYING
50.2,65.6,269.0,86,0,2.1,34.62460860864802,25,-0.19,-2.14,233,ACTIVE_DRYING
49.7,63.3,204.0,86,0,2.1,34.62460860864802,30,-1.24,-2.1,228,ACTIVE_DRYING
49.5,62.4,319.0,71,0,2.1,34.62460860864802,35,-0.92,-1.41,223,ACTIVE_DRYING
48.4,60.5,282.0,70,0,2.1,34.62460860864802,40,-0.85,-2.3,218,ACTIVE_DRYING
48.8,59.1,413.0,69,0,2.1,34.62460860864802,45,0.09,-1.36,213,ACTIVE_DRYING
47.9,57.0,399.0,70,0,2.1,34.62460860864802,50,-0.3,-1.04,208,ACTIVE_DRYING
48.7,56.0,486.0,70,0,2.1,34.62460860864802,55,0.75,-0.65,203,ACTIVE_DRYING
48.7,55.1,489.0,72,0,2.1,34.62460860864802,60,-0.2,0.33,198,ACTIVE_DRYING
49.6,55.3,513.0,68,0,2.1,34.62460860864802,65,0.43,0.18,193,ACTIVE_DRYING
50.1,54.1,576.0,71,0,2.1,34.62460860864802,70,0.31,-0.98,188,ACTIVE_DRYING
50.5,52.3,602.0,68,0,2.1,34.62460860864802,75,0.29,-1.19,183,ACTIVE_DRYING
50.6,51.5,656.0,71,0,2.1,34.62460860864802,80,0.47,-1.47,178,ACTIVE_DRYING
51.4,49.6,669.0,68,0,2.1,34.62460860864802,85,1.07,-1.84,173,ACTIVE_DRYING
52.0,49.0,650.0,70,0,2.1,34.62460860864802,90,0.7,-1.06,168,ACTIVE_DRYING
52.8,47.5,618.0,69,0,2.1,34.62460860864802,95,0.9,-1.73,163,ACTIVE_DRYING
54.1,46.7,699.0,72,0,2.1,34.62460860864802,100,1.6,-0.84,158,ACTIVE_DRYING
55.0,45.9,696.0,68,0,2.1,34.62460860864802,105,0.74,-0.89,153,ACTIVE_DRYING
55.9,45.0,764.0,69,0,2.1,34.62460860864802,110,1.14,-1.49,148,ACTIVE_DRYING
56.9,42.9,785.0,57,0,2.1,34.62460860864802,115,1.27,-1.69,143,ACTIVE_DRYING
58.2,42.7,751.0,54,0,2.1,34.62460860864802,120,1.01,-1.37,138,ACTIVE_DRYING
58.0,40.9,692.0,53,0,2.1,34.62460860864802,125,-0.48,-2.33,133,ACTIVE_DRYING
57.7,40.4,770.0,56,0,2.1,34.62460860864802,130,-0.16,-1.57,128,ACTIVE_DRYING
58.0,39.8,764.0,57,0,2.1,34.62460860864802,135,0.08,-1.6,123,ACTIVE_DRYING
57.8,38.3,770.0,57,0,2.1,34.62460860864802,140,-0.24,-1.28,118,ACTIVE_DRYING
58.2,37.9,704.0,54,0,2.1,34.62460860864802,145,0.19,-0.69,113,STABILIZING
58.4,35.5,722.0,54,0,2.1,34.62460860864802,150,-0.3,-1.1,108,STABILIZING
57.9,35.8,750.0,54,0,2.1,34.62460860864802,155,-0.2,0.72,103,STABILIZING
58.0,34.6,742.0,57,0,2.1,34.62460860864802,160,0.01,-1.48,98,NEAR_COMPLETE
58.4,33.5,628.0,56,0,2.1,34.62460860864802,165,0.15,-1.37,93,NEAR_COMPLETE
58.2,32.6,677.0,53,0,2.1,34.62460860864802,170,-0.37,-1.04,88,NEAR_COMPLETE
58.0,32.6,628.0,56,0,2.1,34.62460860864802,175,-0.49,-0.88,83,NEAR_COMPLETE
58.2,30.5,619.0,55,0,2.1,34.62460860864802,180,0.26,-1.49,78,NEAR_COMPLETE
58.0,30.5,525.0,54,0,2.1,34.62460860864802,185,-0.23,-0.79,73,NEAR_COMPLETE
57.9,29.4,587.0,56,0,2.1,34.62460860864802,190,-0.01,-1.54,68,NEAR_COMPLETE
58.1,28.0,521.0,53,0,2.1,34.62460860864802,195,0.02,-1.23,63,NEAR_COMPLETE
58.3,28.4,450.0,55,0,2.1,34.62460860864802,200,-0.31,0.36,58,COMPLETE
58.1,26.4,430.0,54,0,2.1,34.62460860864802,205,-0.49,-2.39,53,COMPLETE
57.7,27.1,387.0,53,0,2.1,34.62460860864802,210,-0.45,-0.73,48,COMPLETE
57.6,26.0,337.0,56,0,2.1,34.62460860864802,215,0.4,-1.46,43,COMPLETE
57.3,25.2,324.0,57,0,2.1,34.62460860864802,220,-0.41,-2.43,38,COMPLETE
57.0,24.6,241.0,57,0,2.1,34.62460860864802,225,-0.51,-1.12,33,COMPLETE
56.4,23.8,278.0,56,0,2.1,34.62460860864802,230,-0.77,-0.7,28,COMPLETE
55.2,22.0,207.0,56,0,2.1,34.62460860864802,235,-0.96,-0.57,23,COMPLETE
55.1,23.0,188.0,55,0,2.1,34.62460860864802,240,-0.67,0.08,18,COMPLETE
53.4,21.8,95.0,55,0,2.1,34.62460860864802,245,-1.23,-2.01,13,COMPLETE
52.4,21.4,36.0,53,0,2.1,34.62460860864802,250,-0.98,-0.84,8,COMPLETE
50.7,19.8,0.0,54,0,2.1,34.62460860864802,255,-1.92,-1.95,3,COMPLETE
36.0,74.6,0.0,38,1,1.3,28.710048717023774,0,0.24,-0.66,313,INITIAL
39.6,72.7,0.0,52,1,1.3,28.710048717023774,5,3.91,-2.23,308,INITIAL
44.2,70.3,87.0,62,1,1.3,28.710048717023774,10,4.32,-2.27,303,ACTIVE_DRYING
47.3,68.6,97.0,83,1,1.3,28.710048717023774,15,3.09,-1.79,298,ACTIVE_DRYING
50.7,67.1,183.0,86,1,1.3,28.710048717023774,20,4.44,-2.36,293,ACTIVE_DRYING
50.2,65.7,190.0,86,0,1.3,28.710048717023774,25,-0.5,-1.43,288,ACTIVE_DRYING
49.1,63.1,260.0,85,0,1.3,28.710048717023774,30,-0.82,-2.05,283,ACTIVE_DRYING
48.9,61.9,265.0,72,0,1.3,28.710048717023774,35,-0.42,-0.44,278,ACTIVE_DRYING
48.1,60.2,295.0,68,0,1.3,28.710048717023774,40,-0.39,-0.52,273,ACTIVE_DRYING
48.5,59.6,283.0,72,0,1.3,28.710048717023774,45,-0.25,-0.68,268,ACTIVE_DRYING
46.9,58.5,360.0,71,0,1.3,28.710048717023774,50,-1.67,-1.5,263,ACTIVE_DRYING
47.2,57.7,344.0,69,0,1.3,28.710048717023774,55,0.16,-0.59,258,ACTIVE_DRYING
47.1,56.8,386.0,69,0,1.3,28.710048717023774,60,-0.14,-0.67,253,ACTIVE_DRYING
46.9,56.2,389.0,68,0,1.3,28.710048717023774,65,-0.04,-1.0,248,ACTIVE_DRYING
47.8,53.0,482.0,69,0,1.3,28.710048717023774,70,0.49,-1.5,243,ACTIVE_DRYING
47.3,54.1,470.0,70,0,1.3,28.710048717023774,75,-0.35,1.16,238,ACTIVE_DRYING
48.8,52.9,517.0,72,0,1.3,28.710048717023774,80,1.2,-1.81,233,ACTIVE_DRYING
49.2,50.8,576.0,72,0,1.3,28.710048717023774,85,0.67,-1.29,228,ACTIVE_DRYING
49.7,49.5,592.0,68,0,1.3,28.710048717023774,90,0.89,-0.92,223,ACTIVE_DRYING
50.3,49.1,577.0,69,0,1.3,28.710048717023774,95,1.03,-0.51,218,ACTIVE_DRYING
50.9,48.4,617.0,68,0,1.3,28.710048717023774,100,1.18,-1.5,213,ACTIVE_DRYING
52.2,47.1,669.0,71,0,1.3,28.710048717023774,105,1.07,-1.53,208,ACTIVE_DRYING
52.8,46.4,710.0,69,0,1.3,28.710048717023774,110,0.58,-0.8,203,ACTIVE_DRYING
54.2,45.3,683.0,72,0,1.3,28.710048717023774,115,0.72,-1.2,198,ACTIVE_DRYING
55.4,45.0,741.0,72,0,1.3,28.710048717023774,120,0.92,-0.68,193,ACTIVE_DRYING
55.9,43.2,716.0,57,0,1.3,28.710048717023774,125,0.57,-1.52,188,ACTIVE_DRYING
57.3,42.6,733.0,55,0,1.3,28.710048717023774,130,1.85,-1.38,183,ACTIVE_DRYING
58.4,40.9,740.0,56,0,1.3,28.710048717023774,135,0.81,-1.35,178,NEAR_COMPLETE
57.9,39.7,760.0,55,0,1.3,28.710048717023774,140,-0.46,-1.7,173,NEAR_COMPLETE
58.2,38.2,691.0,55,0,1.3,28.710048717023774,145,0.32,-1.95,168,NEAR_COMPLETE
58.4,38.4,777.0,53,0,1.3,28.710048717023774,150,0.24,-1.17,163,NEAR_COMPLETE
58.0,36.5,738.0,54,0,1.3,28.710048717023774,155,-0.8,-2.19,158,NEAR_COMPLETE
58.0,34.1,747.0,55,0,1.3,28.710048717023774,160,0.0,-1.93,153,NEAR_COMPLETE
57.9,34.1,712.0,53,0,1.3,28.710048717023774,165,0.38,-0.17,148,NEAR_COMPLETE
58.6,32.5,704.0,54,0,1.3,28.710048717023774,170,0.17,-1.54,143,COMPLETE
58.7,32.3,756.0,53,0,1.3,28.710048717023774,175,-0.7,0.09,138,COMPLETE
57.7,32.3,800.0,55,0,1.3,28.710048717023774,180,-0.96,0.08,133,COMPLETE
58.3,32.2,692.0,54,0,1.3,28.710048717023774,185,0.55,-0.84,128,COMPLETE
58.0,30.9,705.0,55,0,1.3,28.710048717023774,190,-0.1,-1.09,123,COMPLETE
57.5,29.1,685.0,53,0,1.3,28.710048717023774,195,0.48,-1.43,118,COMPLETE
57.6,29.3,688.0,54,0,1.3,28.710048717023774,200,0.52,0.27,113,COMPLETE
57.5,27.5,630.0,56,0,1.3,28.710048717023774,205,0.41,-0.24,108,COMPLETE
57.7,28.2,643.0,54,0,1.3,28.710048717023774,210,0.49,0.89,103,COMPLETE
57.9,27.6,595.0,57,0,1.3,28.710048717023774,215,0.24,-0.88,98,COMPLETE
57.4,26.6,587.0,54,0,1.3,28.710048717023774,220,0.39,-0.97,93,COMPLETE
58.2,25.2,554.0,53,0,1.3,28.710048717023774,225,0.54,-0.45,88,COMPLETE
58.0,24.8,567.0,56,0,1.3,28.710048717023774,230,0.03,-0.1,83,COMPLETE
58.1,23.5,540.0,56,0,1.3,28.710048717023774,235,-0.06,-0.99,78,COMPLETE
58.4,22.6,494.0,57,0,1.3,28.710048717023774,240,-0.09,-0.7,73,COMPLETE
57.9,22.3,464.0,54,0,1.3,28.710048717023774,245,-0.56,-0.57,68,COMPLETE
57.5,21.0,458.0,56,0,1.3,28.710048717023774,250,0.09,-0.0,63,COMPLETE
57.8,19.8,397.0,57,0,1.3,28.710048717023774,255,-0.16,-0.07,58,COMPLETE
56.6,20.8,357.0,53,0,1.3,28.710048717023774,260,-0.44,1.69,53,COMPLETE
56.8,18.9,379.0,57,0,1.3,28.710048717023774,265,-0.01,-0.55,48,COMPLETE
56.4,19.1,272.0,56,0,1.3,28.710048717023774,270,-0.97,-0.21,43,COMPLETE
55.8,17.6,297.0,54,0,1.3,28.710048717023774,275,-0.56,-0.65,38,COMPLETE
54.9,18.7,205.0,55,0,1.3,28.710048717023774,280,-0.56,0.58,33,COMPLETE
54.6,17.9,196.0,53,0,1.3,28.710048717023774,285,-0.22,-0.07,28,COMPLETE
54.3,17.9,202.0,56,0,1.3,28.710048717023774,290,-0.45,0.02,23,COMPLETE
53.2,18.7,157.0,55,0,1.3,28.710048717023774,295,-1.09,0.19,18,COMPLETE
51.5,17.7,102.0,54,0,1.3,28.710048717023774,300,-1.62,-0.8,13,COMPLETE
49.9,17.6,55.0,53,0,1.3,28.710048717023774,305,-1.1,0.74,8,COMPLETE
48.5,18.5,56.0,54,0,1.3,28.710048717023774,310,-0.97,0.81,3,COMPLETE
33.3,74.3,0.0,42,1,2.4,33.73687866496044,0,-0.11,0.25,212,INITIAL
37.9,73.7,92.0,48,1,2.4,33.73687866496044,5,4.31,-0.79,207,INITIAL
42.0,71.8,89.0,59,1,2.4,33.73687866496044,10,3.94,-2.24,202,ACTIVE_DRYING
46.3,70.4,199.0,83,1,2.4,33.73687866496044,15,3.85,-1.67,197,ACTIVE_DRYING
50.3,67.8,184.0,87,1,2.4,33.73687866496044,20,3.54,-2.44,192,ACTIVE_DRYING
49.0,66.4,311.0,84,0,2.4,33.73687866496044,25,-1.33,-0.83,187,ACTIVE_DRYING
47.7,66.2,271.0,85,0,2.4,33.73687866496044,30,-1.36,-0.27,182,ACTIVE_DRYING
52.7,64.6,372.0,85,1,2.4,33.73687866496044,35,4.84,-2.02,177,ACTIVE_DRYING
52.5,63.3,393.0,70,0,2.4,33.73687866496044,40,-0.06,-1.24,172,ACTIVE_DRYING
52.6,61.2,481.0,68,0,2.4,33.73687866496044,45,0.45,-1.93,167,ACTIVE_DRYING
53.2,61.3,559.0,72,0,2.4,33.73687866496044,50,0.87,-0.11,162,ACTIVE_DRYING
53.6,60.7,543.0,69,0,2.4,33.73687866496044,55,0.67,-2.15,157,ACTIVE_DRYING
54.4,58.0,575.0,69,0,2.4,33.73687866496044,60,0.55,-2.4,152,ACTIVE_DRYING
54.6,57.3,558.0,70,0,2.4,33.73687866496044,65,0.82,-0.25,147,ACTIVE_DRYING
55.2,55.6,659.0,68,0,2.4,33.73687866496044,70,0.78,-1.94,142,ACTIVE_DRYING
56.1,53.6,690.0,70,0,2.4,33.73687866496044,75,1.06,-0.52,137,ACTIVE_DRYING
57.3,54.4,681.0,69,0,2.4,33.73687866496044,80,0.99,1.5,132,ACTIVE_DRYING
58.6,52.1,750.0,69,0,2.4,33.73687866496044,85,0.93,-2.31,127,ACTIVE_DRYING
58.3,50.9,678.0,68,0,2.4,33.73687866496044,90,-0.93,-1.77,122,ACTIVE_DRYING
57.9,47.8,748.0,68,0,2.4,33.73687866496044,95,-0.22,-2.01,117,ACTIVE_DRYING
58.1,47.6,766.0,68,0,2.4,33.73687866496044,100,-0.15,-0.26,112,ACTIVE_DRYING
57.7,46.2,752.0,69,0,2.4,33.73687866496044,105,-0.06,-1.33,107,ACTIVE_DRYING
57.1,44.9,736.0,71,0,2.4,33.73687866496044,110,0.25,-1.42,102,ACTIVE_DRYING
57.6,43.4,773.0,70,0,2.4,33.73687866496044,115,1.03,-1.14,97,ACTIVE_DRYING
58.5,42.7,699.0,57,0,2.4,33.73687866496044,120,0.21,-1.39,92,STABILIZING
57.9,41.6,745.0,56,0,2.4,33.73687866496044,125,-0.63,-0.99,87,STABILIZING
58.2,39.7,681.0,54,0,2.4,33.73687866496044,130,0.51,-1.66,82,STABILIZING
57.9,38.7,635.0,56,0,2.4,33.73687866496044,135,-0.2,-1.64,77,STABILIZING
58.1,37.3,594.0,56,0,2.4,33.73687866496044,140,-0.06,-0.97,72,NEAR_COMPLETE
58.0,36.8,594.0,57,0,2.4,33.73687866496044,145,-0.27,0.17,67,NEAR_COMPLETE
58.4,36.1,544.0,56,0,2.4,33.73687866496044,150,0.23,-0.5,62,NEAR_COMPLETE
58.2,34.1,583.0,57,0,2.4,33.73687866496044,155,-0.35,-0.95,57,NEAR_COMPLETE
58.4,33.9,510.0,53,0,2.4,33.73687866496044,160,-0.54,-0.17,52,NEAR_COMPLETE
57.9,32.9,514.0,53,0,2.4,33.73687866496044,165,-0.13,-0.75,47,NEAR_COMPLETE
57.5,31.4,443.0,56,0,2.4,33.73687866496044,170,-0.32,-1.42,42,COMPLETE
58.0,31.6,379.0,53,0,2.4,33.73687866496044,175,0.12,-0.28,37,COMPLETE
57.1,30.5,318.0,57,0,2.4,33.73687866496044,180,-0.86,-1.08,32,COMPLETE
57.1,28.2,271.0,55,0,2.4,33.73687866496044,185,-0.7,-1.04,27,COMPLETE
55.3,28.5,233.0,56,0,2.4,33.73687866496044,190,-1.86,0.28,22,COMPLETE
54.7,27.7,260.0,53,0,2.4,33.73687866496044,195,-0.93,-0.36,17,COMPLETE
